input,output,metadata
"(características de alto nivel). esto es análogo acómo funciona
el sistema visual de los mamíferos.
d. tipos de filtros
los filtros no son arbitrarios: existen tipos bien definidos con
efectos conocidos. el profesor mencionó como ejemplo elfiltro
gaussiano, que distribuye los pesos siguiendo una campana
de gauss (pesos altos en el centro, bajos en los bordes). al
aplicarse, produce una imagenborrosaque elimina ruido y
resalta contornos generales.
en una cnn, en lugar de definir los filtros manualmente,
los pesos se aprenden automáticamentede los datos. al final
del entrenamiento, los filtros extraen información específica:
bordes, texturas, colores, formas, etc.
e. capa de pooling
la capa de pooling realiza undownsamplingde los mapas
de activación. el tipomás común esmax pooling, que toma",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 11, ""total_chunks"": 19}"
"e. capa de pooling
la capa de pooling realiza undownsamplingde los mapas
de activación. el tipomás común esmax pooling, que toma
el valormáximo en cada ventana. sus características:
• reduce el ancho y largo de los mapas de activación
(generalmente a la mitad).
•no modificaelnúmero de canales.
• no tiene parámetros aprendibles: solo aplica una función
fija.
por ejemplo, una entrada de 32×32×12 después de max
pooling con ventana2×2resulta en16×16×12.
[pagina 3]
f . capa fully-connected final
una vez que las capas convolucionales y de pooling han
condensado la imagen en un vector de características compacto,
este se conecta a una capa fc para la clasificación. las ventajas
de esta estrategia son:
• el vector de entrada a la fc es pequeño (e.g., 13×13×",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 12, ""total_chunks"": 19}"
"este se conecta a una capa fc para la clasificación. las ventajas
de esta estrategia son:
• el vector de entrada a la fc es pequeño (e.g., 13×13×
256 = 43,264), frente a los ∼150,000 parámetros de una
fc directa sobre la imagen original.
• mejora la eficiencia computacional y reduce el sobreajuste.
v. alexnet: unhitohistórico
a. contexto y relevancia
alexnetfue presentada en 2012 y representó un punto de
inflexión en el deep learning. fue la primera arquitectura
cnn en ganar el desafío imagenet lsvrc con un margen
considerable, demostrando la superioridad del aprendizaje
profundo para visión por computadora. se entrenó en gpus
(2 gpus en paralelo), algo revolucionario para laépoca.
b. arquitectura
alexnet procesa imágenes de 224×224×3 . sus principales
parámetros:
table i",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 13, ""total_chunks"": 19}"
"(2 gpus en paralelo), algo revolucionario para laépoca.
b. arquitectura
alexnet procesa imágenes de 224×224×3 . sus principales
parámetros:
table i
parámetros principales dealexnet(primera capa)
parámetro valor
tamaño de imagen entrada224×224×3
tamaño del kernel (capa 1)11×11número de filtros (capa 1) 96
stride (capa 1) 4
padding (capa 1) 0
mapa de activación resultante55×55×96
aplicando lafórmula:
dout =
 224−11 + 0
+ 1 = 55(10)
esto confirma que losnúmeros en las arquitecturasno
son aleatorios, sino el resultado directo de lasfórmulas
de convolución y las decisiones de diseño. la red continúa
con capas sucesivas de convolución, max pooling y relu,
finalizando en un vector de 4096 dimensiones conectado a la
capa fc de clasificación (1000 clases en imagenet).
vi. aplicaciones de lascnn",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 14, ""total_chunks"": 19}"
"finalizando en un vector de 4096 dimensiones conectado a la
capa fc de clasificación (1000 clases en imagenet).
vi. aplicaciones de lascnn
las redes convolucionales resuelven una amplia variedad de
tareas de visión por computadora:
• clasificación de imágenes: asignar una etiqueta a una
imagen completa.
• segmentación de objetos: identificar y separar distintos
objetos en una imagen.
• segmentación de instancias: contar instancias del mismo
objeto (e.g., contar ovejas en una fotografía aérea de una
granja).
• detección de objetos: localizar objetos con bounding
boxes.
• super-resolución: aumentar la calidad y resolución de
imágenes.
• auto-encoders: compresión y reconstrucción de imá-
genes.
vii. transferlearning
un concepto clave mencionado al final de la clase es",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 15, ""total_chunks"": 19}"
"imágenes.
• auto-encoders: compresión y reconstrucción de imá-
genes.
vii. transferlearning
un concepto clave mencionado al final de la clase es
eltransfer learning(aprendizaje por transferencia). las
capas tempranas de una cnn entrenada en un dominio (e.g.,
imagenet) aprenden características generales (bordes, texturas,
colores) que sonútiles para cualquier tarea visual. por lo tanto:
1) se toman los pesos de las capas tempranas de una red
ya entrenada (e.g., alexnet).
2) se usan como punto de partida (inicialización) para
entrenar una nueva red en un dominio diferente.
3) solo se re-entrenan las capas finales (más específicas del
dominio).
esto reduce significativamente el tiempo de entrenamiento
y la cantidad de datos necesaria, ya que no se aprende desde",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 16, ""total_chunks"": 19}"
"dominio).
esto reduce significativamente el tiempo de entrenamiento
y la cantidad de datos necesaria, ya que no se aprende desde
cero. es unatécnica muy poderosa, similar conceptualmente a
la “destilación de conocimiento” (knowledge distillation).
viii. temas sobre elproyecto
el profesor hablo del proyecto sobre algunos consejos
directamente aplicables al proyecto del curso:
• usar filtros pequeños ( 3×3 o 5×5 ). los filtros
grandes ( 11×11 ) son menos eficientes entérminos
computacionales.
• el tamaño de imagenmínimo para el proyecto es 128×
128; considerar el impacto en la dimensión de los feature
maps.
• usar relu como función de activación por defecto en
capas ocultas.
• al tener problemas de dimensiones durante la imple-
mentación, aplicar lafórmula dout =⌊(m−k+",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 17, ""total_chunks"": 19}"
"capas ocultas.
• al tener problemas de dimensiones durante la imple-
mentación, aplicar lafórmula dout =⌊(m−k+
2p)/s⌋+ 1para verificar las dimensiones.
• citar correctamente los papers utilizados (e.g., el paper
de alexnet de krizhevsky et al.).
• la investigación de arquitecturas especializadas (paramóviles, para alta eficiencia) es parte del modelo b del
proyecto.
references
[1] a. krizhevsky, i. sutskever, and g. e. hinton, “imagenet classification
with deep convolutional neural networks,” inadvances in neural
information processing systems, vol. 25, 2012, pp. 1097–1105.
[2] y . lecun, l. bottou, y . bengio, and p. haffner, “gradient-based learning
applied to document recognition,”proceedings of the ieee, vol. 86,
no. 11, pp. 2278–2324, 1998.",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 18, ""total_chunks"": 19}"
"applied to document recognition,”proceedings of the ieee, vol. 86,
no. 11, pp. 2278–2324, 1998.
[3] k. he, x. zhang, s. ren, and j. sun, “deep residual learning for
image recognition,” inieee conference on computer vision and pattern
recognition (cvpr), 2016, pp. 770–778.
[4] i. goodfellow, y . bengio, and a. courville,deep learning. mit press,
2016. [online]. available: http://www.deeplearningbook.org
[5] v . nair and g. e. hinton, “rectified linear units improve restricted
boltzmann machines,” inproceedings of the 27th international confer-
ence on machine learning (icml), 2010, pp. 807–814.",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 19, ""total_chunks"": 19}"
"[pagina 1]
inteligencia artificial, i semestre 2026 1
apuntes semana 10 - clase del martes
mario adriánsánchez ponce,2022167079, instituto tecnológico de costa rica
i. respuestas delquiz
i-a. describa que es una red totalmente conectada incluyen-
do sus 3 capas (fully-connected)
consiste en una red compleja donde se pasa por funciones
no lineales para llegar a la salida. se compone por la capa de
entrada (que contiene los features), la capa intermedia (una
o varias funciones de activación) y la capa de salida (que
contiene la función de activación final para su clasificación)-
i-b. ¿qué es un one-hot vector y como me ayuda a resolver
problemas de regresión multinomial
se trata de una codificación donde se enciende un bit co-
rrespondiente a la entrada registrada. se comparan los vectores",,"{""semana"": 10, ""fecha"": ""2026-04-28"", ""nombre_archivo"": ""10_SEMANA_AI_20260428_1.pdf"", ""autor"": ""Mario Adrián Sánchez Ponce"", ""tema_principal"": ""I. RESPUESTAS DELQUIZ"", ""secciones"": ""I. RESPUESTAS DELQUIZ, II. REPASO- REDES NEURONALES, III. FUNCIÓN DEACTIVACIÓN- REPASO, IV. ¿CUÁL FUNCIÓN DE ACTIVACIÓN UTILIZAR?, V. ¿QUÉ HACER PARA USAR UNAREDNEURONAL COMO"", ""chunk_numero"": 1, ""total_chunks"": 12}"
"se trata de una codificación donde se enciende un bit co-
rrespondiente a la entrada registrada. se comparan los vectores
con el fin de tener una salida demúltiple regresiones
i-c. mencione trestécnicas de augmentation de datos para
señales de audio propuestas en spec augment
- time warping - frequency masking - time masking
i-d. ¿por qué preferimos resolver problemas de clasificación
binaria con una red neuronal demínimo una capa oculta antes
que una regresión logística
se utiliza la clasificación binaria pues permite la resolución
de problemas no lineales, lo que significa que aborda un set
de problemasmás complejo contrario a lo limitado que es con
simple regresión logística.
ii. repaso- redes neuronales
ii-a. perceptrón
buscaba mejorar la regresión logística, el problema fue",,"{""semana"": 10, ""fecha"": ""2026-04-28"", ""nombre_archivo"": ""10_SEMANA_AI_20260428_1.pdf"", ""autor"": ""Mario Adrián Sánchez Ponce"", ""tema_principal"": ""I. RESPUESTAS DELQUIZ"", ""secciones"": ""I. RESPUESTAS DELQUIZ, II. REPASO- REDES NEURONALES, III. FUNCIÓN DEACTIVACIÓN- REPASO, IV. ¿CUÁL FUNCIÓN DE ACTIVACIÓN UTILIZAR?, V. ¿QUÉ HACER PARA USAR UNAREDNEURONAL COMO"", ""chunk_numero"": 2, ""total_chunks"": 12}"
"simple regresión logística.
ii. repaso- redes neuronales
ii-a. perceptrón
buscaba mejorar la regresión logística, el problema fue
que solo funcionaba con problemas lineales. esto provocó el
invierno de la inteligencia articifial en los años 70, pues no
se podían solucionar problemas complejos como el xor. fue
sino hasta la llegada de las redes neuronales que hubo un
avance significativo en esta tecnología.
ii-b. redes neuronales
tienen una neurona con una intensidad específica que pasa
por una función de activación. por ejemplo, en regresión
logística se tiende a utilizar la función sigmoide.
en un perceptrón multicapa se trata de una composición de
funciones, la siguiente función dependiendo de la anterior.
h(0) =sigmoid
xw (0) +b (0)
h(1) =sigmoid
h(0)w (0) +b (0)
h(n) =sigmoid",,"{""semana"": 10, ""fecha"": ""2026-04-28"", ""nombre_archivo"": ""10_SEMANA_AI_20260428_1.pdf"", ""autor"": ""Mario Adrián Sánchez Ponce"", ""tema_principal"": ""I. RESPUESTAS DELQUIZ"", ""secciones"": ""I. RESPUESTAS DELQUIZ, II. REPASO- REDES NEURONALES, III. FUNCIÓN DEACTIVACIÓN- REPASO, IV. ¿CUÁL FUNCIÓN DE ACTIVACIÓN UTILIZAR?, V. ¿QUÉ HACER PARA USAR UNAREDNEURONAL COMO"", ""chunk_numero"": 3, ""total_chunks"": 12}"
"funciones, la siguiente función dependiendo de la anterior.
h(0) =sigmoid
xw (0) +b (0)
h(1) =sigmoid
h(0)w (0) +b (0)
h(n) =sigmoid
h(n−1)w (0) +b (0)
de momento se tenían probabilidades independientes. sin
poder una distribución de probabilidad cuya suma diera 1
como resultado, el cual es lo que se busca. tanto la suma
de 1 como el one-hot vector.
en la capa de salida no es recomendable utilizar sigmoide
por esto mismo. se necesita una función depérdida y una
función de activación que sea capaz de brindarnos una distri-
bución de probabilidad.
en la función depérdida se aplica en base a la derivada de
función de costos, esta en baseen cada neurona. se optimizan
los parámetros w y b de cada una de las neuronas para
optimizar l.",,"{""semana"": 10, ""fecha"": ""2026-04-28"", ""nombre_archivo"": ""10_SEMANA_AI_20260428_1.pdf"", ""autor"": ""Mario Adrián Sánchez Ponce"", ""tema_principal"": ""I. RESPUESTAS DELQUIZ"", ""secciones"": ""I. RESPUESTAS DELQUIZ, II. REPASO- REDES NEURONALES, III. FUNCIÓN DEACTIVACIÓN- REPASO, IV. ¿CUÁL FUNCIÓN DE ACTIVACIÓN UTILIZAR?, V. ¿QUÉ HACER PARA USAR UNAREDNEURONAL COMO"", ""chunk_numero"": 4, ""total_chunks"": 12}"
"función de costos, esta en baseen cada neurona. se optimizan
los parámetros w y b de cada una de las neuronas para
optimizar l.
figura 1. función depérdida en base a las neuronas de la capa anterior
ii-c. distribución de jerarquía - maldición de dimensiona-
lidad
si se escoge elementos demasiado grandes aumenta la fun-
ción de coste. por ello se busca mantener la dimensionalidad
baja.
[pagina 2]
inteligencia artificial, i semestre 2026 2
entremás dimensiones se añaden, mayor la dificultad de
identificar un solo elemento. para ello se mantiene unabús-
queda de comportamiento jerárquico que va desde la regresión
lineal hasta el perceptrón multicapa.
con esto se genera una ganacia exponencial en cuanto al
aprendizaje pues se toma una ruta desde lomás simple como",,"{""semana"": 10, ""fecha"": ""2026-04-28"", ""nombre_archivo"": ""10_SEMANA_AI_20260428_1.pdf"", ""autor"": ""Mario Adrián Sánchez Ponce"", ""tema_principal"": ""I. RESPUESTAS DELQUIZ"", ""secciones"": ""I. RESPUESTAS DELQUIZ, II. REPASO- REDES NEURONALES, III. FUNCIÓN DEACTIVACIÓN- REPASO, IV. ¿CUÁL FUNCIÓN DE ACTIVACIÓN UTILIZAR?, V. ¿QUÉ HACER PARA USAR UNAREDNEURONAL COMO"", ""chunk_numero"": 5, ""total_chunks"": 12}"
